#true velocity is one unknown for t < 0.5 and another unknown for t >= 0.5
T,X,u
0.84855735,-0.5805769,1.0
0.79938924,-0.5164609,1.0
0.60370374,-0.5240805,1.0
0.81073,-0.46244788,1.0
0.15600538,0.6323278,0.0
0.43598235,0.41161394,0.10005155
0.50302875,-0.19642663,1.0
0.6856657,-0.31769776,1.0
0.25050485,-0.9476602,1.0
0.35741055,-0.94958186,1.0
0.051249623,0.46821213,0.0
0.27947712,0.608758,0.0
0.4848547,-0.1316607,1.0
0.9325584,-0.19451213,0.48378193
0.8183167,0.22662234,0.0
0.10768616,-0.9397235,1.0
0.96449363,-0.2350707,0.45628813
0.79635143,0.6973994,0.0
0.3673569,-0.31161213,1.0
0.1649338,-0.6303189,1.0
0.7616801,0.34777522,0.0
0.22628975,0.7003012,0.0
0.7082994,0.99363923,0.0
0.35299885,0.046201468,0.6346145
0.6618271,0.24168158,0.3721913
0.11872375,0.48684883,0.0
0.5056279,-0.95071816,1.0
0.09292698,-0.45536852,0.123096734
0.85493577,0.19586706,0.0
0.9676863,-0.32125425,0.75087523
0.5803151,-0.6896219,1.0
0.55906236,0.8206775,0.0
0.058828354,-0.8673954,1.0
0.7316667,-0.34555793,1.0
0.18843162,-0.3385353,0.53602606
0.33130682,-0.4936142,1.0
0.17775679,0.052678585,0.0
0.5655036,0.42412376,0.2404274
0.73128235,-0.388376,1.0
0.56373,0.74111176,0.0
0.6502166,-0.52576184,1.0
0.3621359,-0.86936617,1.0
0.11893761,-0.5770273,0.7660377
0.7847706,-0.6755178,1.0
0.07373667,0.9059181,0.0
0.75885105,-0.4056499,1.0
0.6378801,-0.9496584,1.0
0.8921901,-0.6592486,1.0
0.15918672,-0.5021219,0.8439995
0.26379037,-0.6585784,1.0
0.77759373,-0.5045216,1.0
0.9748485,0.2763207,0.0
0.7277291,-0.51703596,1.0
0.2242074,0.22516894,0.0
0.93279386,-0.4628806,1.0
0.029111028,-0.72811556,0.50334924
0.89915633,0.8852663,0.0
0.09898603,-0.6321547,0.7828012
0.44684124,0.80737424,0.0
0.164258,0.0595603,0.0
0.15746617,0.73060894,0.0
0.6295873,0.483469,0.0
0.4423654,0.959748,0.0
0.41209507,0.06467366,0.9790417
0.77636206,0.16889405,0.07385796
0.081903815,-0.671015,0.77055836
0.9916556,0.67235017,0.0
0.25905395,-0.522496,1.0
0.97113764,-0.8752279,1.0
0.2406776,0.087034464,0.0
0.48403883,0.73899627,0.0
0.94460225,0.75519705,0.0
0.78814423,0.5281615,0.0
0.20008492,-0.84033394,1.0
0.6843015,0.3407712,0.01904285
0.876896,0.48393154,0.0
0.62640357,-0.6808295,1.0
0.8005564,-0.119452715,0.892662
0.849957,-0.5769522,1.0
0.39911902,0.7002537,0.0
0.36088848,-0.9006684,1.0
0.60056055,0.8901746,0.0
0.3513292,0.5960438,0.0
0.43631876,0.48856664,9.295344e-05
0.39374268,0.53435516,0.0
0.8156035,-0.95003605,1.0
0.5409409,-0.29107976,1.0
0.08220816,-0.0064969063,0.0
0.11704111,0.26836538,0.0
0.25520432,0.4617591,0.0
0.9665818,0.71159506,0.0
0.094240785,-0.06343746,0.0
0.37799418,-0.8537626,1.0
0.67202604,0.6480882,0.0
0.84587145,0.16968346,0.0
